# FSD50K Dev Needed Files
# Format: fname.wav,echo_class

156031.wav,explosion
270811.wav,explosion
278152.wav,explosion
353928.wav,explosion
95078.wav,explosion
209772.wav,explosion
95749.wav,explosion
367622.wav,explosion
80401.wav,explosion
136727.wav,explosion
413219.wav,explosion
413220.wav,explosion
396325.wav,explosion
396326.wav,explosion
396327.wav,explosion
324533.wav,explosion
215593.wav,explosion
215594.wav,explosion
411691.wav,explosion
324534.wav,explosion
324535.wav,explosion
199739.wav,explosion
199738.wav,explosion
183869.wav,explosion
183870.wav,explosion
199741.wav,explosion
6720.wav,explosion
199740.wav,explosion
183868.wav,explosion
186943.wav,explosion
199743.wav,explosion
173125.wav,explosion
6722.wav,explosion
324538.wav,explosion
389706.wav,explosion
324536.wav,explosion
113746.wav,explosion
113748.wav,explosion
113749.wav,explosion
113747.wav,explosion
191583.wav,explosion
155235.wav,explosion
324537.wav,explosion
331369.wav,explosion
347758.wav,explosion
80498.wav,explosion
80499.wav,explosion
80500.wav,explosion
80501.wav,explosion
361592.wav,explosion
210044.wav,explosion
245372.wav,explosion
181376.wav,explosion
181377.wav,explosion
181378.wav,explosion
35458.wav,explosion
35461.wav,explosion
35463.wav,explosion
35464.wav,explosion
414345.wav,explosion
414346.wav,explosion
74892.wav,explosion
35462.wav,explosion
321670.wav,explosion
175261.wav,explosion
347301.wav,explosion
175271.wav,explosion
222373.wav,explosion
97966.wav,explosion
426161.wav,explosion
426162.wav,explosion
426163.wav,explosion
426164.wav,explosion
426165.wav,explosion
426167.wav,explosion
417978.wav,explosion
234170.wav,explosion
234172.wav,explosion
82109.wav,explosion
234171.wav,explosion
234173.wav,explosion
82111.wav,explosion
82110.wav,explosion
232642.wav,explosion
82114.wav,explosion
82115.wav,explosion
82117.wav,explosion
82118.wav,explosion
82119.wav,explosion
82120.wav,explosion
82121.wav,explosion
82113.wav,explosion
151243.wav,explosion
82116.wav,explosion
348357.wav,explosion
216270.wav,explosion
191694.wav,explosion
81103.wav,explosion
216272.wav,explosion
216273.wav,explosion
216274.wav,explosion
216275.wav,explosion
216277.wav,explosion
216278.wav,explosion
216271.wav,explosion
216276.wav,explosion
158425.wav,explosion
351963.wav,explosion
51427.wav,explosion
181476.wav,explosion
181477.wav,explosion
51429.wav,explosion
344296.wav,explosion
388329.wav,explosion
408122.wav,explosion
383220.wav,explosion
347387.wav,explosion
54012.wav,explosion
132861.wav,explosion
268550.wav,explosion
268551.wav,explosion
268552.wav,explosion
268553.wav,explosion
51464.wav,explosion
268555.wav,explosion
268556.wav,explosion
51467.wav,explosion
268554.wav,explosion
369935.wav,explosion
268557.wav,explosion
51466.wav,explosion
56601.wav,explosion
65817.wav,explosion
187677.wav,explosion
331552.wav,explosion
195874.wav,explosion
331555.wav,explosion
392997.wav,explosion
256295.wav,explosion
256296.wav,explosion
109355.wav,explosion
256300.wav,explosion
73005.wav,explosion
45372.wav,explosion
378174.wav,explosion
132929.wav,explosion
268101.wav,explosion
177483.wav,explosion
95058.wav,explosion
332628.wav,explosion
63831.wav,explosion
250712.wav,explosion
95069.wav,explosion
126304.wav,explosion
77169.wav,explosion
366453.wav,explosion
145788.wav,explosion
114046.wav,explosion
67458.wav,explosion
67463.wav,explosion
67464.wav,explosion
67465.wav,explosion
204171.wav,explosion
67468.wav,explosion
67469.wav,explosion
67470.wav,explosion
67471.wav,explosion
394128.wav,explosion
67473.wav,explosion
67474.wav,explosion
67475.wav,explosion
177556.wav,explosion
67477.wav,explosion
117138.wav,explosion
265623.wav,explosion
67480.wav,explosion
67479.wav,explosion
67482.wav,explosion
168861.wav,explosion
211881.wav,explosion
341930.wav,explosion
67505.wav,explosion
315826.wav,explosion
67507.wav,explosion
67508.wav,explosion
67506.wav,explosion
67510.wav,explosion
423351.wav,explosion
324529.wav,explosion
324530.wav,explosion
67514.wav,explosion
324531.wav,explosion
324532.wav,explosion
67517.wav,explosion
67518.wav,explosion
67519.wav,explosion
256960.wav,explosion
67521.wav,explosion
409538.wav,explosion
67522.wav,explosion
67524.wav,explosion
67523.wav,explosion
67520.wav,explosion
67527.wav,explosion
156615.wav,explosion
322505.wav,explosion
82112.wav,explosion
18383.wav,explosion
18384.wav,explosion
239569.wav,explosion
315859.wav,explosion
162260.wav,explosion
92630.wav,explosion
353241.wav,explosion
33245.wav,explosion
18400.wav,explosion
364516.wav,explosion
367588.wav,explosion
92646.wav,explosion
276968.wav,explosion
94185.wav,explosion
394127.wav,explosion
212974.wav,explosion
154678.wav,explosion
108431.wav,explosion
434143.wav,explosion
365735.wav,explosion
401609.wav,explosion
343091.wav,explosion
108842.wav,explosion
245581.wav,explosion
322500.wav,explosion
322499.wav,explosion
322503.wav,explosion
322504.wav,explosion
322508.wav,explosion
322509.wav,explosion
322511.wav,explosion
218718.wav,explosion
366086.wav,explosion
178182.wav,explosion
366088.wav,explosion
128520.wav,explosion
366090.wav,explosion
182797.wav,explosion
165909.wav,explosion
165910.wav,explosion
165911.wav,explosion
121371.wav,explosion
268828.wav,explosion
